town,county
Addison,Addison
Albany,Orleans
Alburgh,Grand Isle
Andover,Windsor
Arlington,Bennington
Athens,Windham
Bakersfield,Franklin
Baltimore,Windsor
Barnard,Windsor
Barnet,Caledonia
Barre City,Washington
Barre Town,Washington
Barton,Orleans
Belvidere,Lamoille
Bennington,Bennington
Benson,Rutland
Berkshire,Franklin
Berlin,Washington
Bethel,Windsor
Bloomfield,Essex
Bolton,Chittenden
Bradford,Orange
Braintree,Orange
Brandon,Rutland
Brattleboro,Windham
Bridgewater,Windsor
Bridport,Addison
Brighton,Essex
Bristol,Addison
Brookfield,Orange
Brookline,Windham
Brownington,Orleans
Brunswick,Essex
Burke,Caledonia
Burlington,Chittenden
Cabot,Washington
Calais,Washington
Cambridge,Lamoille
Canaan,Essex
Castleton,Rutland
Cavendish,Windsor
Charleston,Orleans
Charlotte,Chittenden
Chelsea,Orange
Chester,Windsor
Chittenden,Rutland
Clarendon,Rutland
Colchester,Chittenden
Concord,Essex
Corinth,Orange
Cornwall,Addison
Coventry,Orleans
Craftsbury,Orleans
Danby,Rutland
Danville,Caledonia
Derby,Orleans
Dorset,Bennington
Dover,Windham
Dummerston,Windham
Duxbury,Washington
E. Haven,Essex
E. Montpelier,Washington
Eden,Lamoille
Elmore,Lamoille
Enosburgh,Franklin
Essex,Chittenden
Fair Haven,Rutland
Fairfax,Franklin
Fairfield,Franklin
Fairlee,Orange
Fayston,Washington
Ferrisburgh,Addison
Fletcher,Franklin
Franklin,Franklin
Georgia,Franklin
Glover,Orleans
Goshen,Addison
Grafton,Windham
Granby,Essex
Grand Isle,Grand Isle
Granville,Addison
Greensboro,Orleans
Groton,Caledonia
Guildhall,Essex
Guilford,Windham
Halifax,Windham
Hancock,Addison
Hardwick,Caledonia
Hartford,Windsor
Hartland,Windsor
Highgate,Franklin
Hinesburg,Chittenden
Holland,Orleans
Hubbardton,Rutland
Huntington,Chittenden
Hyde Park,Lamoille
Ira,Rutland
Irasburg,Orleans
Isle La Motte,Grand Isle
Jamaica,Windham
Jay,Orleans
Jericho,Chittenden
Johnson,Lamoille
Killington,Rutland
Kirby,Caledonia
Landgrove,Bennington
Leicester,Addison
Lemington,Essex
Lincoln,Addison
Londonderry,Windham
Lowell,Orleans
Ludlow,Windsor
Lunenburg,Essex
Lyndon,Caledonia
Maidstone,Essex
Manchester,Bennington
Marlboro,Windham
Marshfield,Washington
Mendon,Rutland
Middlebury,Addison
Middlesex,Washington
Middletown Springs,Rutland
Milton,Chittenden
Monkton,Addison
Montgomery,Franklin
Montpelier,Washington
Moretown,Washington
Morgan,Orleans
Morristown,Lamoille
Mount Holly,Rutland
Mount Tabor,Rutland
New Haven,Addison
Newark,Caledonia
Newbury,Orange
Newfane,Windham
Newport City,Orleans
Newport Town,Orleans
N. Hero,Grand Isle
Northfield,Washington
Norton,Essex
Norwich,Windsor
Orange,Orange
Orwell,Addison
Panton,Addison
Pawlet,Rutland
Peacham,Caledonia
Peru,Bennington
Pittsfield,Rutland
Pittsford,Rutland
Plainfield,Washington
Plymouth,Windsor
Pomfret,Windsor
Poultney,Rutland
Pownal,Bennington
Proctor,Rutland
Putney,Windham
Randolph,Orange
Reading,Windsor
Readsboro,Bennington
Richford,Franklin
Richmond,Chittenden
Ripton,Addison
Rochester,Windsor
Rockingham,Windham
Roxbury,Washington
Royalton,Windsor
Rupert,Bennington
Rutland City,Rutland
Rutland Town,Rutland
Ryegate,Caledonia
Salisbury,Franklin
Sandgate,Franklin
Searsburg,Chittenden
Shaftsbury,Caledonia
Sharon,Addison
Sheffield,Bennington
Shelburne,Bennington
Sheldon,Bennington
Shoreham,Windsor
Shrewsbury,Caledonia
S. Burlington,Chittenden
S. Hero,Franklin
Springfield,Addison
St. Albans City,Rutland
St. Albans Town,Chittenden
St. George,Grand Isle
St. Johnsbury,Windsor
Stamford,Bennington
Stannard,Caledonia
Starksboro,Addison
Stockbridge,Windsor
Stowe,Lamoille
Strafford,Orange
Stratton,Windham
Sudbury,Rutland
Sunderland,Bennington
Sutton,Caledonia
Swanton,Franklin
Thetford,Orange
Tinmouth,Rutland
Topsham,Orange
Townshend,Windham
Troy,Orleans
Tunbridge,Orange
Underhill,Chittenden
Vergennes,Addison
Vernon,Windham
Vershire,Orange
Victory,Essex
Waitsfield,Washington
Walden,Caledonia
Wallingford,Rutland
Waltham,Addison
Wardsboro,Windham
Warren,Washington
Washington,Orange
Waterbury,Washington
Waterford,Caledonia
Waterville,Lamoille
Weathersfield,Windsor
Wells,Rutland
W. Fairlee,Orange
W. Haven,Rutland
W. Rutland,Rutland
W. Windsor,Windsor
Westfield,Orleans
Westford,Chittenden
Westminster,Windham
Westmore,Orleans
Weston,Windsor
Weybridge,Addison
Wheelock,Caledonia
Whiting,Addison
Whitingham,Windham
Williamstown,Orange
Williston,Chittenden
Wilmington,Windham
Windham,Windham
Windsor,Windsor
Winhall,Bennington
Winooski,Chittenden
Wolcott,Lamoille
Woodbury,Washington
Woodford,Bennington
Woodstock,Windsor
Worcester,Washington
